k;Time With Array;Memory With Array;Time With Variable;Memory With Variable;
100;1273791;16384;369641;32768;
200;38873;32768;105977;81920;
300;53196;57344;164545;155648;
400;70851;81920;218018;237568;
500;90083;114688;275700;327680;
600;128021;147456;446329;434176;
700;167435;188416;470446;557056;
800;203913;237568;565605;688128;
900;217103;286720;619689;835584;
1000;236672;344064;679255;991232;
