<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
17/04/00,000000,1426.0000000,1448.0000000,1350.0000000,1440.0000000,152816
24/04/00,000000,1435.0000000,1508.0000000,1393.2000000,1486.5000000,113638
01/05/00,000000,1471.5500000,1501.0000000,1440.0000000,1467.0000000,35903
08/05/00,000000,1485.0000000,1490.0000000,1403.0000000,1404.0000000,38376
15/05/00,000000,1399.0000000,1414.0000000,1180.0000000,1195.9000000,73179
22/05/00,000000,1150.0000000,1169.8900000,860.0000000,1065.0000000,110771
29/05/00,000000,1079.4000000,1260.0000000,1055.0000000,1250.0000000,66202
05/06/00,000000,1251.0000000,1266.0000000,1090.0000000,1222.0000000,114200
12/06/00,000000,1201.0000000,1218.0000000,1125.0000000,1140.0000000,40730
19/06/00,000000,1130.0000000,1145.0000000,976.0000000,1030.0000000,59548
26/06/00,000000,1010.0000000,1033.0000000,871.0000000,975.0000000,61988
03/07/00,000000,980.0000000,1400.0000000,980.0000000,1300.0500000,164236
10/07/00,000000,1328.9000000,1440.0000000,1260.0000000,1351.0000000,138846
17/07/00,000000,1333.0000000,1372.0000000,1260.0000000,1295.0000000,55040
24/07/00,000000,1299.0000000,1325.0000000,1250.0000000,1312.9900000,102215
31/07/00,000000,1300.0000000,1395.0000000,1293.0000000,1374.0000000,112774
07/08/00,000000,1401.0000000,1430.0000000,1348.0100000,1385.0100000,101435
14/08/00,000000,1400.0000000,1450.0000000,1330.0000000,1330.0000000,97874
21/08/00,000000,1330.0000000,1425.0000000,1314.0000000,1400.0000000,70758
28/08/00,000000,1389.0000000,1459.0000000,1376.0000000,1381.0000000,97185
04/09/00,000000,1385.0000000,1420.0000000,1339.0000000,1349.4900000,51931
11/09/00,000000,1340.0000000,1340.0000000,1226.0000000,1278.0000000,40006
18/09/00,000000,1245.0000000,1245.0000000,1030.0000000,1067.9900000,51987
25/09/00,000000,1115.0000000,1179.0000000,1100.0000000,1153.0000000,47031
02/10/00,000000,1148.9000000,1220.0000000,1117.0000000,1136.0000000,42612
09/10/00,000000,1130.0000000,1134.0000000,990.0000000,1020.0000000,31967
16/10/00,000000,1078.0000000,1171.0000000,1000.0000000,1168.0000000,52212
23/10/00,000000,1190.0100000,1200.0000000,1140.0100000,1161.9900000,25532
30/10/00,000000,1166.0000000,1174.0000000,1101.2100000,1155.0000000,38826
06/11/00,000000,1143.4500000,1149.0000000,1070.0200000,1077.0000000,10531
13/11/00,000000,1056.0000000,1085.0000000,1018.0000000,1062.4000000,20607
20/11/00,000000,1050.0100000,1065.0000000,920.0000000,957.0200000,32727
27/11/00,000000,988.0000000,1000.0000000,740.0000000,756.0100000,37771
04/12/00,000000,760.0000000,930.0000000,741.0000000,840.0000000,71450
11/12/00,000000,870.0000000,880.0000000,745.0000000,745.0000000,40613
18/12/00,000000,760.0000000,795.0000000,621.0000000,725.0000000,54836
25/12/00,000000,739.0000000,739.9900000,682.0000000,700.0000000,65418
01/01/01,000000,680.0000000,714.9900000,630.0000000,700.0000000,19515
08/01/01,000000,698.8000000,756.0000000,690.0000000,748.4900000,43815
15/01/01,000000,748.0000000,837.0000000,725.0000000,802.0000000,62294
22/01/01,000000,795.0000000,826.0000000,760.0000000,794.0000000,83441
29/01/01,000000,793.0000000,795.0000000,713.0000000,722.9000000,80567
05/02/01,000000,709.0000000,750.0000000,706.0000000,718.0000000,49157
12/02/01,000000,716.0000000,789.9700000,703.0000000,745.0000000,111499
19/02/01,000000,749.0000000,757.0000000,651.0000000,661.0000000,44578
26/02/01,000000,669.8900000,718.5000000,645.0000000,704.5000000,55605
05/03/01,000000,710.9000000,839.9900000,707.1000000,803.7700000,79674
12/03/01,000000,780.0000000,1034.0000000,745.0000000,940.0000000,199236
19/03/01,000000,954.0000000,1000.0000000,890.0000000,918.0000000,87931
26/03/01,000000,927.0000000,942.0000000,875.0100000,937.9900000,40478
02/04/01,000000,945.0000000,990.0000000,885.1300000,939.9500000,106122
09/04/01,000000,926.0000000,1030.0000000,917.0000000,1026.9900000,55973
16/04/01,000000,1005.0000000,1121.0000000,1000.0000000,1020.0000000,81181
23/04/01,000000,1020.0000000,1084.0000000,894.0000000,1045.0000000,69446
30/04/01,000000,1050.0000000,1070.0000000,1034.1000000,1064.0000000,17016
07/05/01,000000,1075.0000000,1079.0000000,1042.0000000,1051.0000000,32576
14/05/01,000000,1054.9900000,1088.9800000,1040.0000000,1088.9800000,27842
21/05/01,000000,1095.0000000,1194.0000000,1075.0000000,1142.0000000,112155
28/05/01,000000,1090.0000000,1102.0000000,1050.0000000,1089.0000000,51335
04/06/01,000000,1090.0000000,1169.9900000,1090.0000000,1097.0000000,107568
11/06/01,000000,1100.0000000,1130.8500000,1085.0000000,1130.0000000,41697
18/06/01,000000,1118.0100000,1184.8900000,1118.0100000,1170.0000000,62411
25/06/01,000000,1179.0000000,1193.9300000,1030.0000000,1100.0000000,102798
02/07/01,000000,1099.0000000,1110.0000000,1047.0000000,1055.1000000,33256
09/07/01,000000,1055.0000000,1079.0000000,975.0000000,990.0000000,40101
16/07/01,000000,992.0000000,1055.0000000,985.0000000,997.0000000,29207
23/07/01,000000,1002.0000000,1070.0000000,990.0000000,1019.0000000,25751
30/07/01,000000,1030.0000000,1035.0000000,992.0000000,1012.5000000,25444
06/08/01,000000,1001.5100000,1015.0000000,990.0100000,1001.0000000,17952
13/08/01,000000,1000.0000000,1024.0000000,999.0100000,1002.0000000,8898
20/08/01,000000,1000.0000000,1045.9000000,990.0000000,1033.8500000,33348
27/08/01,000000,1035.0000000,1070.0000000,1014.9000000,1055.0000000,51412
03/09/01,000000,1050.0100000,1112.6800000,1050.0100000,1076.1000000,43836
10/09/01,000000,1051.0000000,1077.0000000,905.0000000,982.0100000,35271
17/09/01,000000,961.0000000,999.0000000,900.0000000,910.0000000,36563
24/09/01,000000,915.0000000,927.0000000,843.0000000,890.0000000,40860
01/10/01,000000,900.0000000,915.0000000,872.0100000,905.0000000,22160
08/10/01,000000,892.3000000,972.0000000,885.0000000,965.0000000,30420
15/10/01,000000,946.0000000,989.0000000,933.3000000,972.9000000,21993
22/10/01,000000,974.9000000,1019.9800000,970.0800000,997.0000000,22384
29/10/01,000000,1000.0000000,1039.9000000,986.2000000,1021.0000000,24793
05/11/01,000000,1022.0000000,1096.0000000,1015.0000000,1083.0000000,59190
12/11/01,000000,1090.0000000,1149.9000000,1033.0000000,1060.0000000,102622
19/11/01,000000,1041.0000000,1270.0000000,1041.0000000,1210.0000000,145986
26/11/01,000000,1234.0000000,1414.0000000,1204.0000000,1392.0000000,149229
03/12/01,000000,1403.0000000,1912.0000000,1380.0000000,1890.0000000,299993
10/12/01,000000,1937.0000000,2187.0000000,1771.0000000,1842.0000000,235011
17/12/01,000000,1889.0000000,2172.0000000,1830.0000000,2127.0000000,208943
24/12/01,000000,2127.0000000,2299.9900000,2127.0000000,2219.0000000,175214
31/12/01,000000,2246.0000000,2370.0000000,2185.7000000,2301.0000000,38498
07/01/02,000000,2310.0000000,2364.0000000,2282.0000000,2332.0500000,83134
14/01/02,000000,2300.0000000,2890.0000000,2272.0000000,2780.0000000,172609
21/01/02,000000,2811.8700000,2830.0000000,2405.0000000,2418.0000000,113520
28/01/02,000000,2420.0000000,2688.0000000,2400.0000000,2555.0000000,79796
04/02/02,000000,2547.6900000,2590.0000000,2400.0000000,2566.0000000,61453
11/02/02,000000,2584.0000000,2795.9000000,2570.0000000,2682.0000000,73992
18/02/02,000000,2695.5400000,2777.0000000,2610.0000000,2760.0000000,43290
25/02/02,000000,2785.0000000,2909.9500000,2722.0000000,2898.0000000,102705
04/03/02,000000,2950.0000000,3034.0000000,2835.0000000,2995.5500000,117317
11/03/02,000000,3015.0000000,3255.5500000,2935.0000000,3239.8800000,125102
18/03/02,000000,3398.0000000,3888.0000000,3267.0000000,3812.0000000,254632
25/03/02,000000,3823.0000000,4413.0000000,3695.0000000,4280.0000000,270477
01/04/02,000000,4260.0000000,4685.0000000,4231.0000000,4620.0000000,234382
08/04/02,000000,4639.0000000,5204.0000000,4600.0000000,4690.0000000,322332
15/04/02,000000,4729.0000000,5210.0000000,4602.0000000,5195.0000000,319687
22/04/02,000000,5236.1000000,5562.0000000,5100.0000000,5430.0000000,264374
29/04/02,000000,5455.0000000,5469.0000000,5210.0100000,5305.0000000,53070
06/05/02,000000,5350.0000000,5430.0000000,4912.0100000,5430.0000000,71024
13/05/02,000000,5400.0000000,5700.0000000,5265.0000000,5690.0000000,212832
20/05/02,000000,5590.0000000,5880.0000000,5570.0000000,5640.0000000,164778
27/05/02,000000,5655.0000000,5699.0000000,5050.0000000,5391.0000000,111164
03/06/02,000000,5400.0000000,5460.0000000,5219.0000000,5360.0000000,78966
10/06/02,000000,5420.0000000,5734.1100000,5351.0500000,5620.0000000,103819
17/06/02,000000,5650.0000000,5679.0000000,5155.0200000,5400.0000000,110712
24/06/02,000000,5373.0000000,5460.0000000,5140.0000000,5299.0000000,81252
01/07/02,000000,5290.0000000,5430.0000000,5210.0000000,5371.0000000,50858
08/07/02,000000,5350.0000000,5365.0000000,5225.0000000,5265.2000000,27094
15/07/02,000000,5250.0000000,5331.8900000,5160.0000000,5225.0000000,34361
