0.58	0.63	0.83	0.83	0.88	0.61	0.70	0.99	0.42	0.83	0.19	0.99	0.08	0.63
0.38	0.99	0.44	0.61	0.59	0.94	0.71	0.99	0.61	0.99	0.40	0.94	0.19	0.63
0.09	0.94	0.21	0.94	0.48	0.61	0.77	0.63	0.92	0.99	0.83	0.99	0.57	0.83
0.50	0.63	0.62	0.83	0.55	0.94	0.54	0.94	0.47	0.99	0.30	0.83	0.14	0.94
0.58	0.63	0.66	0.99	0.56	0.83	0.51	0.63	0.41	0.61	0.24	0.94	0.11	0.63
0.05	0.83	0.16	0.61	0.39	0.83	0.69	0.94	0.93	0.99	0.97	0.94	0.78	0.63
0.80	0.63	0.95	0.83	0.83	0.83	0.55	0.61	0.27	0.61	0.10	0.83	0.04	0.99
0.34	0.83	0.66	0.94	0.90	0.99	0.91	0.94	0.70	0.94	0.42	0.63	0.19	0.94
0.16	0.83	0.36	0.94	0.63	0.94	0.83	0.83	0.83	0.61	0.62	0.63	0.35	0.83
0.39	0.61	0.68	0.83	0.90	0.94	0.90	0.83	0.68	0.83	0.39	0.99	0.17	0.94
0.38	0.99	0.71	0.83	0.91	0.99	0.88	0.61	0.64	0.83	0.36	0.61	0.16	0.63
0.37	0.63	0.52	0.83	0.53	0.61	0.58	0.63	0.57	0.63	0.41	0.63	0.22	0.94
0.15	0.94	0.33	0.83	0.52	0.99	0.62	0.94	0.54	0.61	0.49	0.83	0.38	0.94
0.87	0.83	0.72	0.63	0.43	0.83	0.28	0.83	0.16	0.63	0.07	1.00	0.02	0.83
0.37	0.83	0.57	0.83	0.65	0.99	0.54	0.99	0.48	0.94	0.37	0.61	0.21	0.63
0.56	0.63	0.83	0.99	0.85	0.99	0.65	0.99	0.38	0.83	0.17	0.83	0.06	0.61
