0.10	0.94	0.18	0.61	0.36	0.61	0.64	0.83	0.83	0.63	0.79	0.99	0.57	0.83
0.27	0.61	0.52	0.83	0.77	0.94	0.85	0.61	0.70	0.94	0.44	0.94	0.21	0.83
0.20	0.83	0.34	0.94	0.42	0.63	0.58	0.83	0.69	0.94	0.60	0.99	0.39	0.61
0.23	0.63	0.45	0.83	0.68	0.83	0.76	0.99	0.63	0.63	0.40	0.99	0.25	0.83
0.19	0.63	0.41	0.94	0.69	0.83	0.86	0.63	0.82	0.61	0.59	0.94	0.32	0.63
0.11	0.61	0.31	0.61	0.60	0.99	0.88	0.94	0.97	0.83	0.83	0.61	0.55	0.94
0.06	0.99	0.21	0.83	0.46	0.83	0.76	0.83	0.96	0.83	0.93	0.94	0.70	0.83
0.61	0.63	0.85	0.83	0.88	0.83	0.68	0.99	0.39	0.83	0.17	0.83	0.07	0.83
0.42	0.99	0.75	0.63	0.91	0.61	0.83	0.61	0.58	0.99	0.31	0.61	0.13	0.83
0.95	0.99	0.94	0.61	0.70	0.99	0.38	0.63	0.16	0.99	0.05	0.61	0.02	0.83
0.59	0.61	0.55	0.61	0.59	0.63	0.56	0.99	0.39	0.63	0.20	0.63	0.08	0.63
0.57	0.94	0.82	0.99	0.88	0.94	0.70	0.63	0.42	0.94	0.19	0.83	0.09	0.99
0.11	0.61	0.26	0.99	0.55	0.99	0.82	0.99	0.90	0.61	0.76	0.63	0.49	0.99
0.10	0.63	0.22	0.61	0.37	0.61	0.45	0.83	0.58	0.61	0.65	0.99	0.53	0.99
0.83	0.99	0.85	0.63	0.63	0.99	0.35	0.63	0.20	0.63	0.10	1.00	0.04	0.99
0.71	0.61	0.91	0.83	0.87	0.61	0.62	0.99	0.33	0.61	0.13	0.61	0.05	0.63
