0.06	0.63	0.16	0.94	0.35	0.63	0.57	0.83	0.70	0.94	0.64	0.83	0.45	0.63
0.29	0.61	0.49	0.94	0.76	0.83	0.82	0.99	0.66	0.83	0.41	0.99	0.19	0.83
0.10	0.99	0.18	0.83	0.36	0.63	0.64	0.94	0.83	0.61	0.79	0.94	0.58	0.94
0.12	0.83	0.29	0.99	0.51	0.94	0.67	0.63	0.66	0.61	0.49	0.83	0.36	0.99
0.34	0.99	0.54	0.94	0.77	0.63	0.79	0.61	0.59	0.94	0.34	0.99	0.15	0.63
0.10	0.61	0.23	0.83	0.51	0.99	0.79	0.94	0.91	0.94	0.80	0.94	0.54	0.83
0.76	0.83	0.73	0.61	0.51	0.99	0.40	0.99	0.27	0.83	0.13	1.00	0.05	0.61
0.08	0.94	0.25	0.63	0.53	0.94	0.82	0.94	0.97	0.63	0.89	0.99	0.63	0.99
0.33	0.61	0.59	0.63	0.78	0.63	0.78	0.94	0.58	0.61	0.32	0.63	0.18	0.99
0.95	0.83	0.78	0.63	0.47	0.63	0.21	0.94	0.10	0.94	0.04	0.61	0.01	0.61
0.28	0.99	0.54	0.61	0.80	0.83	0.90	0.94	0.77	0.94	0.49	0.61	0.24	0.94
0.66	0.94	0.90	0.83	0.93	0.83	0.71	0.61	0.41	0.61	0.18	0.94	0.06	0.63
0.86	0.83	0.92	0.63	0.72	0.61	0.41	0.83	0.18	0.83	0.08	0.99	0.03	0.83
0.11	0.99	0.27	0.83	0.49	0.94	0.65	0.63	0.66	0.61	0.49	0.61	0.38	0.99
0.06	0.63	0.11	0.61	0.26	0.94	0.53	0.83	0.79	0.94	0.87	0.94	0.72	0.61
0.39	0.94	0.45	0.63	0.59	0.99	0.70	0.61	0.60	0.94	0.38	0.63	0.18	0.63
