0.43	0.94	0.60	0.94	0.76	0.99	0.69	0.99	0.46	0.99	0.24	0.99	0.09	0.83
0.98	0.99	0.94	0.83	0.69	0.94	0.38	0.63	0.16	0.83	0.05	0.99	0.01	0.83
0.99	0.94	0.92	0.83	0.66	0.94	0.36	0.99	0.15	0.94	0.05	0.94	0.01	0.63
0.63	0.99	0.78	0.83	0.70	0.99	0.46	0.61	0.33	0.83	0.20	0.61	0.09	0.83
0.18	0.61	0.45	0.83	0.75	0.61	0.95	0.61	0.90	0.61	0.67	0.63	0.38	0.94
0.80	0.99	0.98	0.94	0.91	0.61	0.64	0.61	0.34	0.83	0.14	0.99	0.04	0.99
0.97	0.94	0.87	0.61	0.57	0.99	0.27	0.61	0.10	0.94	0.04	0.61	0.01	0.61
0.11	0.63	0.32	0.61	0.62	0.94	0.88	0.94	0.97	0.63	0.82	0.63	0.53	0.83
0.28	0.63	0.48	0.61	0.75	0.94	0.84	0.94	0.69	0.61	0.43	0.83	0.21	0.99
0.23	0.63	0.32	0.83	0.51	0.99	0.73	0.83	0.76	0.94	0.58	0.94	0.34	0.94
0.44	0.99	0.69	0.63	0.78	0.94	0.66	0.83	0.41	0.94	0.27	0.63	0.15	0.83
0.19	0.94	0.38	0.61	0.58	0.61	0.64	0.99	0.53	0.61	0.46	0.94	0.34	0.94
0.40	0.99	0.73	0.61	0.91	0.99	0.85	0.63	0.60	0.99	0.33	0.83	0.14	0.61
0.24	0.94	0.44	0.94	0.73	0.83	0.85	0.63	0.75	0.99	0.49	0.83	0.25	0.94
0.62	0.83	0.56	0.61	0.58	0.83	0.54	0.94	0.36	0.61	0.18	0.63	0.07	0.83
0.72	0.99	0.57	0.63	0.53	0.83	0.43	0.94	0.26	0.63	0.11	0.94	0.04	0.61
