0.74	0.94	0.94	0.61	0.91	0.63	0.65	0.63	0.35	0.94	0.14	0.63	0.04	0.94
0.29	0.61	0.55	0.99	0.83	0.63	0.94	0.94	0.81	0.99	0.53	0.94	0.26	0.61
0.47	0.83	0.79	0.83	0.90	0.83	0.77	0.61	0.50	0.63	0.25	0.99	0.10	0.94
0.29	0.61	0.55	0.99	0.75	0.63	0.78	0.83	0.60	0.83	0.35	0.83	0.20	0.63
0.99	0.61	0.92	0.94	0.64	0.61	0.34	0.61	0.13	0.83	0.04	0.83	0.01	0.83
0.92	0.94	0.97	0.63	0.78	0.94	0.47	0.99	0.21	0.83	0.07	0.61	0.02	0.94
0.40	0.94	0.61	0.61	0.66	0.61	0.54	0.63	0.46	0.99	0.34	0.61	0.19	0.94
0.41	0.94	0.70	0.61	0.91	0.99	0.90	0.63	0.66	0.94	0.37	0.61	0.16	0.83
0.31	0.61	0.51	0.63	0.77	0.94	0.81	0.94	0.64	0.61	0.38	0.61	0.17	0.94
0.35	0.63	0.63	0.94	0.88	0.83	0.94	0.63	0.76	0.99	0.47	0.63	0.22	0.63
0.50	0.94	0.79	0.83	0.96	0.83	0.90	0.83	0.64	0.83	0.34	0.99	0.14	0.94
0.83	0.99	0.85	0.61	0.63	0.99	0.35	0.63	0.20	0.61	0.10	0.99	0.04	0.99
0.72	0.83	0.57	0.61	0.53	0.63	0.43	0.63	0.26	0.94	0.11	0.61	0.04	0.94
0.09	0.83	0.27	0.99	0.55	0.63	0.84	1.00	0.97	0.83	0.87	0.61	0.61	0.61
0.11	0.63	0.27	0.94	0.50	0.94	0.71	0.63	0.75	0.61	0.60	0.83	0.36	0.63
0.15	0.63	0.36	0.61	0.64	0.61	0.86	0.99	0.89	0.61	0.69	0.61	0.41	0.63
