0.67	0.63	0.80	0.61	0.69	0.83	0.44	0.63	0.30	0.94	0.17	0.61	0.08	0.83
0.61	0.61	0.82	0.63	0.81	0.99	0.59	0.61	0.32	0.61	0.18	0.94	0.09	0.99
0.44	0.94	0.60	0.83	0.76	0.83	0.68	0.94	0.45	0.83	0.23	0.63	0.09	0.94
0.47	0.61	0.79	0.61	0.90	0.99	0.77	0.94	0.50	0.99	0.25	0.94	0.10	0.99
0.67	0.83	0.71	0.99	0.54	0.83	0.46	0.61	0.34	0.61	0.18	0.99	0.07	0.99
0.79	0.61	0.96	0.99	0.89	0.94	0.61	0.94	0.32	0.83	0.12	1.00	0.04	0.61
0.07	0.83	0.22	0.63	0.48	0.61	0.78	0.63	0.96	0.83	0.92	0.63	0.68	0.94
0.32	0.99	0.52	0.94	0.77	0.61	0.80	0.99	0.62	0.61	0.37	0.99	0.17	0.63
0.75	0.63	0.95	0.83	0.90	0.83	0.65	0.63	0.35	0.63	0.14	0.83	0.04	0.63
0.12	0.83	0.29	0.99	0.53	0.61	0.73	0.63	0.75	0.83	0.59	0.99	0.35	0.83
0.47	0.63	0.62	0.63	0.75	0.63	0.64	0.83	0.40	0.63	0.19	0.63	0.07	0.63
0.93	0.61	0.91	0.61	0.65	0.63	0.34	0.99	0.14	0.61	0.06	0.83	0.02	0.99
0.49	0.63	0.76	0.99	0.87	0.83	0.74	0.63	0.47	0.61	0.23	0.94	0.11	0.94
0.40	0.94	0.58	0.63	0.77	0.61	0.72	0.61	0.51	0.61	0.27	0.61	0.11	0.94
0.65	0.63	0.88	0.94	0.88	0.61	0.66	0.94	0.37	0.94	0.15	0.61	0.07	0.94
0.16	0.83	0.29	0.83	0.38	0.61	0.55	0.99	0.70	0.94	0.65	0.61	0.46	0.94
