0.0434783,0.0434783,23
0.695652,0.913043,23
0.913043,1.78261,23
1,2.65217,23
1,3.52174,23
1,4.3913,23
1,5.26087,23
1,6.13043,23
1,7,23
1,7.86957,23
1,8.73913,23
1,9.6087,23
1,5.12766,47
1,5.55319,47
1,5.97872,47
1,6.40426,47
1,6.82979,47
0.978947,3.58947,95
0.978947,3.8,95
0.978947,4.01053,95
0.978947,4.22105,95
0.978947,4.43158,95
1,4.64211,95
1,4.85263,95
1,5.06316,95
1,5.27368,95
1,5.48421,95
1,5.69474,95
1,5.90526,95
1,6.11579,95
1,6.32632,95
1,6.53684,95
0.528796,3.35602,191
0.528796,3.46073,191
0.528796,3.56545,191
0.528796,3.67016,191
0.528796,3.77487,191
0.263708,1.93473,383
0.263708,1.98695,383
0.131682,1.01825,767
0.131682,1.04433,767
0.131682,1.0704,767
0.065798,0.547883,1535
0.065798,0.560912,1535
0.0328883,0.286877,3071
0.0164415,0.146671,6143
0.0164415,0.149927,6143
0.00423194,0.0382909,24575
0.00423194,0.0391048,24575
0.00102744,0.00997935,98303
0.0434783,0.0434783,23
0.565217,0.913043,23
0.73913,1.78261,23
0.869565,2.65217,23
0.956522,3.52174,23
0.956522,4.3913,23
0.956522,5.26087,23
0.956522,6.13043,23
1,7,23
1,7.86957,23
1,8.73913,23
0.957447,4.70213,47
0.978723,5.12766,47
1,5.55319,47
1,5.97872,47
1,6.40426,47
1,6.82979,47
1,7.25532,47
1,7.68085,47
1,8.10638,47
1,8.53191,47
0.989474,4.43158,95
0.989474,4.64211,95
0.52356,2.41361,191
0.52356,2.51832,191
0.52356,2.62304,191
0.52356,2.72775,191
0.52356,2.83246,191
0.52356,2.93717,191
0.52356,3.04188,191
0.52356,3.1466,191
0.52356,3.25131,191
0.52356,3.35602,191
0.52356,3.46073,191
0.52356,3.56545,191
0.528796,3.67016,191
0.528796,3.77487,191
0.528796,3.87958,191
0.528796,3.98429,191
0.528796,4.08901,191
0.528796,4.19372,191
0.528796,4.29843,191
0.528796,4.40314,191
0.528796,4.50785,191
0.263708,2.30026,383
0.131682,1.17471,767
0.065798,0.6,1535
0.0164415,0.153182,6143
0.0164415,0.156438,6143
0.00822007,0.0798405,12287
0.0434783,0.0434783,23
0.608696,0.913043,23
0.826087,1.78261,23
0.956522,2.65217,23
1,3.52174,23
1,4.3913,23
1,5.26087,23
1,6.13043,23
1,7,23
1,7.86957,23
1,8.73913,23
1,4.70213,47
1,5.12766,47
1,5.55319,47
1,5.97872,47
1,6.40426,47
1,6.82979,47
1,7.25532,47
0.989474,3.8,95
0.989474,4.01053,95
0.989474,4.22105,95
0.989474,4.43158,95
0.989474,4.64211,95
0.989474,4.85263,95
0.989474,5.06316,95
0.989474,5.27368,95
0.989474,5.48421,95
0.989474,5.69474,95
0.989474,5.90526,95
0.989474,6.11579,95
1,6.32632,95
1,6.53684,95
0.528796,3.35602,191
0.528796,3.46073,191
0.528796,3.56545,191
0.528796,3.67016,191
0.528796,3.77487,191
0.528796,3.87958,191
0.528796,3.98429,191
0.528796,4.08901,191
0.528796,4.19372,191
0.528796,4.29843,191
0.528796,4.40314,191
0.528796,4.50785,191
0.131682,1.14863,767
0.0328883,0.29339,3071
0.0328883,0.299902,3071
0.0164415,0.153182,6143
0.00102744,0.0097759,98303
0.000256857,0.00249482,393215
